dataset,framework,run,time_seconds
2h6a75nk.txt,Hadoop,1,2.7604
2h6a75nk.txt,Hadoop,2,2.8666
2h6a75nk.txt,Hadoop,3,2.8013
2h6a75nk.txt,Linux,1,0.0062
2h6a75nk.txt,Linux,2,0.0082
2h6a75nk.txt,Linux,3,0.0085
2h6a75nk.txt,Spark,1,9.7479
2h6a75nk.txt,Spark,2,9.6919
2h6a75nk.txt,Spark,3,9.8919
4vxdw3pa.txt,Hadoop,1,2.8368
4vxdw3pa.txt,Hadoop,2,2.8624
4vxdw3pa.txt,Hadoop,3,2.6976
4vxdw3pa.txt,Linux,1,0.0364
4vxdw3pa.txt,Linux,2,0.0474
4vxdw3pa.txt,Linux,3,0.0481
4vxdw3pa.txt,Spark,1,10.0657
4vxdw3pa.txt,Spark,2,10.8195
4vxdw3pa.txt,Spark,3,10.2095
datumz6m.txt,Hadoop,1,2.8170
datumz6m.txt,Hadoop,2,2.9290
datumz6m.txt,Hadoop,3,2.7732
datumz6m.txt,Linux,1,0.0390
datumz6m.txt,Linux,2,0.0434
datumz6m.txt,Linux,3,0.0409
datumz6m.txt,Spark,1,10.3453
datumz6m.txt,Spark,2,10.3908
datumz6m.txt,Spark,3,11.0040
dybs9bnk.txt,Hadoop,1,3.0863
dybs9bnk.txt,Hadoop,2,2.9891
dybs9bnk.txt,Hadoop,3,2.9927
dybs9bnk.txt,Linux,1,0.0211
dybs9bnk.txt,Linux,2,0.0214
dybs9bnk.txt,Linux,3,0.0208
dybs9bnk.txt,Spark,1,10.8600
dybs9bnk.txt,Spark,2,10.6645
dybs9bnk.txt,Spark,3,10.8086
j4j4xdw6.txt,Hadoop,1,3.0438
j4j4xdw6.txt,Hadoop,2,3.0919
j4j4xdw6.txt,Hadoop,3,3.0739
j4j4xdw6.txt,Linux,1,0.0098
j4j4xdw6.txt,Linux,2,0.0101
j4j4xdw6.txt,Linux,3,0.0092
j4j4xdw6.txt,Spark,1,10.7325
j4j4xdw6.txt,Spark,2,10.8673
j4j4xdw6.txt,Spark,3,10.7305
kh9excea.txt,Hadoop,1,3.0152
kh9excea.txt,Hadoop,2,2.9363
kh9excea.txt,Hadoop,3,2.9728
kh9excea.txt,Linux,1,0.0108
kh9excea.txt,Linux,2,0.0115
kh9excea.txt,Linux,3,0.0097
kh9excea.txt,Spark,1,10.7951
kh9excea.txt,Spark,2,10.6450
kh9excea.txt,Spark,3,10.8762
vwvram8.txt,Hadoop,1,3.0378
vwvram8.txt,Hadoop,2,3.1476
vwvram8.txt,Hadoop,3,2.9762
vwvram8.txt,Linux,1,0.0087
vwvram8.txt,Linux,2,0.0100
vwvram8.txt,Linux,3,0.0093
vwvram8.txt,Spark,1,10.8180
vwvram8.txt,Spark,2,10.5000
vwvram8.txt,Spark,3,10.6223
weh83uyn.txt,Hadoop,1,3.0270
weh83uyn.txt,Hadoop,2,3.0813
weh83uyn.txt,Hadoop,3,2.9786
weh83uyn.txt,Linux,1,0.0081
weh83uyn.txt,Linux,2,0.0073
weh83uyn.txt,Linux,3,0.0071
weh83uyn.txt,Spark,1,10.8582
weh83uyn.txt,Spark,2,10.7966
weh83uyn.txt,Spark,3,10.7341
ym8s5fm4.txt,Hadoop,1,2.9714
ym8s5fm4.txt,Hadoop,2,2.9918
ym8s5fm4.txt,Hadoop,3,2.9346
ym8s5fm4.txt,Linux,1,0.0288
ym8s5fm4.txt,Linux,2,0.0275
ym8s5fm4.txt,Linux,3,0.0283
ym8s5fm4.txt,Spark,1,10.8742
ym8s5fm4.txt,Spark,2,10.6806
ym8s5fm4.txt,Spark,3,11.0270
